UserName,Password,Email,FullName,Birthday,CharacterName,CharacterAge,Health,XP,Copper,,,,,
varundel4l,jA0>xkYB/V5L,varundel4l@japanpost.jp,Sutherland Backler,1986-04-15,Vin Arundel,20,8,21,85,,,," (N'varundel4l', N'jA0>xkYB/V5L', N'varundel4l@japanpost.jp',N'Sutherland Backler',N'1986-04-15',N'Vin Arundel',N'20',N'8',N'21',N'85'),",1986-04-15
afaichnie4m,eD7.J>PU,afaichnie4m@tripadvisor.com,Alexine Riceards,1981-03-22,Aymer Faichnie,19,6,196,76,,,," (N'afaichnie4m', N'eD7.J>PU', N'afaichnie4m@tripadvisor.com',N'Alexine Riceards',N'1981-03-22',N'Aymer Faichnie',N'19',N'6',N'196',N'76'),",1981-03-22
ahoyer4n,"nA5@,4}2",ahoyer4n@nsw.gov.au,Felicdad Gallichan,1984-04-23,Alana Hoyer,19,7,188,98,,,," (N'ahoyer4n', N'nA5@,4}2', N'ahoyer4n@nsw.gov.au',N'Felicdad Gallichan',N'1984-04-23',N'Alana Hoyer',N'19',N'7',N'188',N'98'),",1984-04-23
larrundale4o,aS6/ioQYgKPcH,larrundale4o@china.com.cn,Jacinta Dimitrijevic,2013-06-08,Lizette Arrundale,100,3,47,82,,,," (N'larrundale4o', N'aS6/ioQYgKPcH', N'larrundale4o@china.com.cn',N'Jacinta Dimitrijevic',N'2013-06-08',N'Lizette Arrundale',N'100',N'3',N'47',N'82'),",2013-06-08
gdalrymple4p,kI1/s_stN,gdalrymple4p@ucla.edu,Adelaide Allbones,2016-10-09,Georas Dalrymple,7,5,70,31,,,," (N'gdalrymple4p', N'kI1/s_stN', N'gdalrymple4p@ucla.edu',N'Adelaide Allbones',N'2016-10-09',N'Georas Dalrymple',N'7',N'5',N'70',N'31'),",2016-10-09
mbusch4q,"aL9.,@Nv?ZMc\",mbusch4q@seattletimes.com,Sheelah Carruthers,1982-02-17,Morlee Busch,17,3,169,58,,,," (N'mbusch4q', N'aL9.,@Nv?ZMc\', N'mbusch4q@seattletimes.com',N'Sheelah Carruthers',N'1982-02-17',N'Morlee Busch',N'17',N'3',N'169',N'58'),",1982-02-17
achurchard4r,"xE9`P""YB6",achurchard4r@prlog.org,Conchita Snarr,2004-02-07,Antonella Churchard,12,4,45,80,,,," (N'achurchard4r', N'xE9`P""YB6', N'achurchard4r@prlog.org',N'Conchita Snarr',N'2004-02-07',N'Antonella Churchard',N'12',N'4',N'45',N'80'),",2004-02-07
msiemon4s,"bB6$8""UhzW",msiemon4s@amazon.co.jp,Valentin Maseyk,1998-02-08,Morly Siemon,14,7,89,33,,,," (N'msiemon4s', N'bB6$8""UhzW', N'msiemon4s@amazon.co.jp',N'Valentin Maseyk',N'1998-02-08',N'Morly Siemon',N'14',N'7',N'89',N'33'),",1998-02-08
xleyre4t,iO4'79Mbe,xleyre4t@wikia.com,Sherri Divill,1991-03-18,Xever Leyre,95,6,137,66,,,," (N'xleyre4t', N'iO4'79Mbe', N'xleyre4t@wikia.com',N'Sherri Divill',N'1991-03-18',N'Xever Leyre',N'95',N'6',N'137',N'66'),",1991-03-18
djennions4u,yL2#}wS<,djennions4u@dailymail.co.uk,Christiane Coda,1998-10-22,Domingo Jennions,22,6,21,88,,,," (N'djennions4u', N'yL2#}wS<', N'djennions4u@dailymail.co.uk',N'Christiane Coda',N'1998-10-22',N'Domingo Jennions',N'22',N'6',N'21',N'88'),",1998-10-22
pdubber4v,vS9%9l7l,pdubber4v@google.ca,Jaquelin Kleiser,2002-09-19,Phebe Dubber,18,4,15,85,,,," (N'pdubber4v', N'vS9%9l7l', N'pdubber4v@google.ca',N'Jaquelin Kleiser',N'2002-09-19',N'Phebe Dubber',N'18',N'4',N'15',N'85'),",2002-09-19
jyounglove4w,uV0)uWy1dEgrX,jyounglove4w@intel.com,Welch Munsey,1981-08-01,Janelle Younglove,91,6,193,78,,,," (N'jyounglove4w', N'uV0)uWy1dEgrX', N'jyounglove4w@intel.com',N'Welch Munsey',N'1981-08-01',N'Janelle Younglove',N'91',N'6',N'193',N'78'),",1981-08-01
ebalmforth4x,sQ5$~@>PA.Oq8!K,ebalmforth4x@odnoklassniki.ru,Gerardo Davidek,2006-12-30,Ellswerth Balmforth,33,5,143,60,,,," (N'ebalmforth4x', N'sQ5$~@>PA.Oq8!K', N'ebalmforth4x@odnoklassniki.ru',N'Gerardo Davidek',N'2006-12-30',N'Ellswerth Balmforth',N'33',N'5',N'143',N'60'),",2006-12-30
sboston4y,vJ3+$k_aYccD?jt,sboston4y@noaa.gov,Guinevere Cuardall,1984-01-06,Skye Boston,2,3,127,23,,,," (N'sboston4y', N'vJ3+$k_aYccD?jt', N'sboston4y@noaa.gov',N'Guinevere Cuardall',N'1984-01-06',N'Skye Boston',N'2',N'3',N'127',N'23'),",1984-01-06
wmcconnulty4z,"xN5?u""lXw<",wmcconnulty4z@yolasite.com,Darci Rodolico,1988-03-13,Westley McConnulty,33,8,76,22,,,," (N'wmcconnulty4z', N'xN5?u""lXw<', N'wmcconnulty4z@yolasite.com',N'Darci Rodolico',N'1988-03-13',N'Westley McConnulty',N'33',N'8',N'76',N'22'),",1988-03-13
nleaver50,"vB3@Y+.""lDo",nleaver50@timesonline.co.uk,Whitaker Hackney,1984-09-24,Nolly Leaver,11,6,56,81,,,," (N'nleaver50', N'vB3@Y+.""lDo', N'nleaver50@timesonline.co.uk',N'Whitaker Hackney',N'1984-09-24',N'Nolly Leaver',N'11',N'6',N'56',N'81'),",1984-09-24
dtailour51,mI7&W0GSn,dtailour51@lulu.com,Ogdon Fontin,2007-01-06,Devy Tailour,8,5,139,54,,,," (N'dtailour51', N'mI7&W0GSn', N'dtailour51@lulu.com',N'Ogdon Fontin',N'2007-01-06',N'Devy Tailour',N'8',N'5',N'139',N'54'),",2007-01-06
kobey52,uO6$9tO'WIB0S},kobey52@sina.com.cn,Willabella Dominique,2000-01-22,Kamila Obey,6,8,70,7,,,," (N'kobey52', N'uO6$9tO'WIB0S}', N'kobey52@sina.com.cn',N'Willabella Dominique',N'2000-01-22',N'Kamila Obey',N'6',N'8',N'70',N'7'),",2000-01-22
bchurching53,bY6!XD8ooGLu,bchurching53@europa.eu,Marielle Schirak,1994-03-18,Brockie Churching,96,3,109,56,,,," (N'bchurching53', N'bY6!XD8ooGLu', N'bchurching53@europa.eu',N'Marielle Schirak',N'1994-03-18',N'Brockie Churching',N'96',N'3',N'109',N'56'),",1994-03-18
tcollins54,gI1+U=d&<x/owui,tcollins54@technorati.com,Dame Klimke,1989-06-07,Therine Collins,4,4,127,38,,,," (N'tcollins54', N'gI1+U=d&<x/owui', N'tcollins54@technorati.com',N'Dame Klimke',N'1989-06-07',N'Therine Collins',N'4',N'4',N'127',N'38'),",1989-06-07
lcockerell55,"rQ7{6O3s,",lcockerell55@tripadvisor.com,Larina Dunseith,2007-08-05,Lark Cockerell,84,8,163,86,,,," (N'lcockerell55', N'rQ7{6O3s,', N'lcockerell55@tripadvisor.com',N'Larina Dunseith',N'2007-08-05',N'Lark Cockerell',N'84',N'8',N'163',N'86'),",2007-08-05
lfalco56,vA2+q{.Y7UT,lfalco56@wikia.com,Fleming James,1988-03-15,Lorne Falco,44,6,174,46,,,," (N'lfalco56', N'vA2+q{.Y7UT', N'lfalco56@wikia.com',N'Fleming James',N'1988-03-15',N'Lorne Falco',N'44',N'6',N'174',N'46'),",1988-03-15
kmohammad57,"jL6""S%WiU",kmohammad57@yandex.ru,Leontine Orniz,1990-01-18,Kalila Mohammad,7,3,62,50,,,," (N'kmohammad57', N'jL6""S%WiU', N'kmohammad57@yandex.ru',N'Leontine Orniz',N'1990-01-18',N'Kalila Mohammad',N'7',N'3',N'62',N'50'),",1990-01-18
sallner58,eN7@SO2Zf?s<Oa,sallner58@usgs.gov,Adrienne Ovize,1994-03-18,Saunder Allner,81,6,90,45,,,," (N'sallner58', N'eN7@SO2Zf?s<Oa', N'sallner58@usgs.gov',N'Adrienne Ovize',N'1994-03-18',N'Saunder Allner',N'81',N'6',N'90',N'45'),",1994-03-18
ecobbing59,zQ8/\LM44ff{UI,ecobbing59@nymag.com,Lelah Andrieux,1996-06-06,Evangelin Cobbing,45,7,170,13,,,," (N'ecobbing59', N'zQ8/\LM44ff{UI', N'ecobbing59@nymag.com',N'Lelah Andrieux',N'1996-06-06',N'Evangelin Cobbing',N'45',N'7',N'170',N'13'),",1996-06-06
aedmeades5a,hV0.7NaUWphy'7k,aedmeades5a@nbcnews.com,Bar Northwood,2010-06-10,Anthony Edmeades,41,4,146,67,,,," (N'aedmeades5a', N'hV0.7NaUWphy'7k', N'aedmeades5a@nbcnews.com',N'Bar Northwood',N'2010-06-10',N'Anthony Edmeades',N'41',N'4',N'146',N'67'),",2010-06-10
ccleyburn5b,rJ5>!>6)2h8p\7,ccleyburn5b@china.com.cn,Cecilius Chong,1994-01-26,Cody Cleyburn,23,3,100,64,,,," (N'ccleyburn5b', N'rJ5>!>6)2h8p\7', N'ccleyburn5b@china.com.cn',N'Cecilius Chong',N'1994-01-26',N'Cody Cleyburn',N'23',N'3',N'100',N'64'),",1994-01-26
fjobb5c,bC0'~?v7hh0NXb9,fjobb5c@unesco.org,Lilllie Eland,2012-12-04,Fabien Jobb,79,8,30,32,,,," (N'fjobb5c', N'bC0'~?v7hh0NXb9', N'fjobb5c@unesco.org',N'Lilllie Eland',N'2012-12-04',N'Fabien Jobb',N'79',N'8',N'30',N'32'),",2012-12-04
amatteuzzi5d,rF1_Rpo+Q,amatteuzzi5d@discuz.net,Kate Rushbrook,2007-09-25,Alanna Matteuzzi,81,6,95,68,,,," (N'amatteuzzi5d', N'rF1_Rpo+Q', N'amatteuzzi5d@discuz.net',N'Kate Rushbrook',N'2007-09-25',N'Alanna Matteuzzi',N'81',N'6',N'95',N'68'),",2007-09-25
ptipple5e,jY9/&+*=9S%se,ptipple5e@sohu.com,Karly Ardron,1984-03-27,Paxon Tipple,8,6,131,27,,,," (N'ptipple5e', N'jY9/&+*=9S%se', N'ptipple5e@sohu.com',N'Karly Ardron',N'1984-03-27',N'Paxon Tipple',N'8',N'6',N'131',N'27'),",1984-03-27
jla5f,zF1`+e4C4_I~4XB,jla5f@sun.com,Claudius McCunn,1989-03-08,Joete La Torre,62,8,190,66,,,," (N'jla5f', N'zF1`+e4C4_I~4XB', N'jla5f@sun.com',N'Claudius McCunn',N'1989-03-08',N'Joete La Torre',N'62',N'8',N'190',N'66'),",1989-03-08
sisley5g,bS1#Mj}RMJ@$6,sisley5g@soundcloud.com,Livvyy Froude,2015-10-23,Shandy Isley,68,5,104,3,,,," (N'sisley5g', N'bS1#Mj}RMJ@$6', N'sisley5g@soundcloud.com',N'Livvyy Froude',N'2015-10-23',N'Shandy Isley',N'68',N'5',N'104',N'3'),",2015-10-23
omears5h,bQ0/6q0Uv(4A<,omears5h@vinaora.com,Nevsa Duinkerk,2013-08-06,Olenka Mears,64,4,197,82,,,," (N'omears5h', N'bQ0/6q0Uv(4A<', N'omears5h@vinaora.com',N'Nevsa Duinkerk',N'2013-08-06',N'Olenka Mears',N'64',N'4',N'197',N'82'),",2013-08-06
sbristow5i,uV9/?Tev\5,sbristow5i@barnesandnoble.com,Jemimah Lecointe,2002-11-29,Sergeant Bristow,47,8,58,50,,,," (N'sbristow5i', N'uV9/?Tev\5', N'sbristow5i@barnesandnoble.com',N'Jemimah Lecointe',N'2002-11-29',N'Sergeant Bristow',N'47',N'8',N'58',N'50'),",2002-11-29
emckeefry5j,lY9{o6?\Y,emckeefry5j@angelfire.com,Carie Burling,2006-09-22,Eleonora McKeefry,75,3,138,82,,,," (N'emckeefry5j', N'lY9{o6?\Y', N'emckeefry5j@angelfire.com',N'Carie Burling',N'2006-09-22',N'Eleonora McKeefry',N'75',N'3',N'138',N'82'),",2006-09-22
